No,English,Japanese,Example_English,Example_Japanese
1,let,〜させる,My parents let me use the computer.,両親は私にコンピューターを使わせてくれた。
2,decide,決める,We decided to study together.,私たちは一緒に勉強することに決めた。
3,train,訓練する,He trains every morning.,彼は毎朝トレーニングする。
4,travel,旅行する,I want to travel in Japan.,私は日本を旅行したい。
5,leave,去る,She left the room quietly.,彼女は静かに部屋を出た。
6,park,駐車する,Please park your car here.,ここに車を止めてください。
7,order,注文する,I ordered a pizza for dinner.,私は夕食にピザを注文した。
8,lose,失う,Don't lose your bag.,かばんをなくさないで。
9,move,動く,The box was too heavy to move.,その箱は重すぎて動かせなかった。
10,pay,払う,I paid for the ticket.,私は切符代を払った。
11,wait,待つ,Please wait for me.,私を待ってください。
12,change,変える,The weather changed quickly.,天気は急に変わった。
13,check,確認する,Please check your answer.,答えを確認してください。
14,build,建てる,They built a new school.,彼らは新しい学校を建てた。
15,worry,心配する,Don't worry about the test.,テストを心配しないで。
16,plant,植える,We planted flowers in the garden.,私たちは庭に花を植えた。
17,practice,練習する,She practices the piano every day.,彼女は毎日ピアノを練習する。
18,care,気にかける,He cares about his family.,彼は家族を大切にしている。
19,describe,説明する,Can you describe the picture?,その絵を説明できますか。
20,cost,費用がかかる,This bag costs 50 dollars.,このかばんは50ドルする。
21,turn,回る,Turn right at the corner.,角を右に曲がって。
22,join,参加する,I joined the soccer club.,私はサッカー部に入った。
23,grow,育つ,These trees grow fast.,これらの木は早く育つ。
24,save,節約する,I am saving money for a trip.,私は旅行のためにお金を貯めている。
25,win,勝つ,Our team won the game.,私たちのチームは試合に勝った。
26,pick,選ぶ,She picked a blue dress.,彼女は青いドレスを選んだ。
27,believe,信じる,I believe your story.,私はあなたの話を信じる。
28,report,報告する,He reported the accident.,彼は事故を報告した。
29,forget,忘れる,I forgot my homework.,私は宿題を忘れた。
30,hurt,傷つける,My leg hurts today.,今日は足が痛む。
31,borrow,借りる,Can I borrow your pen?,あなたのペンを借りてもいいですか。
32,surprise,驚かせる,The news surprised everyone.,その知らせはみんなを驚かせた。
33,volunteer,ボランティアをする,Many students volunteered at the event.,多くの学生がそのイベントでボランティアをした。
34,carry,運ぶ,He carried the boxes upstairs.,彼は箱を2階へ運んだ。
35,set,置く,She set the cup on the table.,彼女はテーブルにカップを置いた。
36,invite,招待する,We invited Tom to the party.,私たちはトムをパーティーに招待した。
37,happen,起こる,Something strange happened yesterday.,昨日変なことが起こった。
38,choose,選ぶ,You can choose any color.,どの色でも選べます。
39,guide,案内する,He guided us through the city.,彼は私たちを街で案内した。
40,arrive,到着する,The train arrived on time.,電車は時間通りに到着した。
41,offer,申し出る,She offered me some tea.,彼女は私にお茶をすすめた。
42,remember,覚えている,I remember his name.,私は彼の名前を覚えている。
43,cancel,キャンセルする,They canceled the meeting.,彼らは会議を中止した。
44,repair,修理する,My father repaired the bike.,父は自転車を修理した。
45,excuse,言い訳,That is not a good excuse.,それは良い言い訳ではない。
46,internet,インターネット,I use the internet every day.,私は毎日インターネットを使う。
47,idea,考え,That's a great idea.,それは素晴らしい考えだ。
48,information,情報,We need more information.,私たちはもっと情報が必要だ。
49,honey,はちみつ,I put honey in my tea.,私はお茶にはちみつを入れた。
50,fire,火,The fire was very dangerous.,その火事はとても危険だった。
51,vegetable,野菜,You should eat more green vegetables.,もっと緑黄色野菜を食べるべきだ。
52,situation,状況,The economic situation is improving.,経済状況は改善している。
53,passage,一節,Read the following passage and answer the questions.,次の文章を読んで、問いに答えなさい。
54,event,出来事,The Olympic Games is a major sporting event.,オリンピックは大きなスポーツイベントだ。
55,ma'am,奥様,"Can I help you, ma'am?",奥様、何かお手伝いしましょうか？
56,avocado,アボカド,I put some avocado in the salad.,サラダにアボカドを入れた。
57,type,型,What type of music do you like?,どんな種類の音楽が好きですか？
58,bakery,パン屋,The bakery smells of fresh bread.,そのパン屋は焼きたてパンの匂いがする。
59,future,将来,I want to be a doctor in the future.,将来は医者になりたい。
60,exercise,運動,Walking is good exercise for everyone.,ウォーキングは誰にとっても良い運動だ。
61,bottle,ビン,Can I have a bottle of water?,水をボトルで一本もらえますか？
62,sign,合図,The red light is a sign of danger.,赤信号は危険のサインだ。
63,service,サービス,The service in this restaurant is excellent.,このレストランのサービスは素晴らしい。
64,garbage,生ゴミ,Please take out the garbage tonight.,今夜、ゴミを出しておいてください。
65,customer,顧客,The store was full of customers.,その店は客でいっぱいだった。
66,business,職業,He is away on business this week.,彼は今週、出張で不在だ。
67,trouble,トラブル,I'm sorry to cause you so much trouble.,お手数をおかけして申し訳ありません。
68,tour,周遊旅行,We went on a walking tour of the city.,私たちは街のウォーキングツアーに参加した。
69,race,競走,He won the 100-meter race.,彼は100メートル走で優勝した。
70,environment,环境,We must protect the natural environment.,私たちは自然環境を守らなければならない。
71,activity,活動,There are many outdoor activities in summer.,夏には多くのアウトドア活動がある。
72,other,他の,Do you have any other questions?,他に質問はありますか？
73,different,違った,My idea is different from yours.,私の考えはあなたのとは違う。
74,important,重要な,It is important to sleep well.,よく眠ることは重要だ。
75,special,特別な,Today is a very special day for me.,今日は私にとってとても特別な日だ。
76,enough,十分な,Is there enough food for everyone?,全員分の十分な食べ物はありますか？
77,expensive,高価な,This watch is too expensive for me.,この時計は私には高価すぎる。
78,difficult,困難な,The math test was very difficult.,数学のテストはとても難しかった。
79,few,ほとんど〜ない,Very few people live to be 100.,100歳まで生きる人はごくわずかだ。
80,another,別の,Would you like another cup of tea?,お茶をもう一杯いかがですか？
81,close,接近した,The station is close to my house.,駅は私の家に近い。
82,own,自分自身の,I want to have my own room.,自分の部屋が欲しい。
83,local,地元の,You should try the local food.,地元の食べ物を試してみるべきだ。
84,delicious,おいしい,This cake is absolutely delicious.,このケーキは本当に美味しい。
85,foreign,外国の,I like learning foreign languages.,外国語を学ぶのが好きだ。
86,however,しかしながら,"He was tired; however, he kept working.",彼は疲れていたが、仕事を続けた。
87,even,~でさえ,Even a child can understand this.,子供でさえこれを理解できる。
88,online,オンラインで,I usually buy books online.,私はたいていオンラインで本を買う。
