passage_id,set_id,passage_no,genre,passage_type,title,title_ja,passage_text,passage_text_ja,key_points_ja,source_style
G3SET01-P01,G3SET01,1,notice,notice,Garden Day at West High School,ウェスト高校のガーデンデー,"Garden Day at West High School
Do you want to make our school more beautiful? We are looking for volunteers to help us plant flowers and trees around the school entrance.
Date: Saturday, June 20
Time: 9:00 a.m. to 11:30 a.m.
Place: The front gate of the school
After we finish working, we will have a small party in the school cafeteria. You can enjoy free juice and cookies.
Please note:
Bring your own garden gloves if you have them.
If it rains, we will do the work on Sunday, June 21.",学校をより美しくするため、校門の周りに花や木を植えるボランティア募集のお知らせです。作業後は食堂で小さなパーティーがあります。,花や木を植える／手袋を持っていれば持参／雨なら翌日に延期,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-P02,G3SET01,2,email,email,Birthday Party for Sarah,サラの誕生日パーティー,"From: Keiko Tanaka
To: Emily Wilson
Date: June 15
Subject: Birthday party for Sarah

Hi Emily,
How are you? Next Friday is Sarah’s birthday. I’m planning a surprise party for her at my house this Saturday. I’ve already bought a gift for her. It’s a blue necklace because blue is her favorite color. Can you help me with the party? I know you are very good at making sweets. Could you bake a chocolate cake for us? I will buy the drinks and some snacks. My brother will pick you up at the station at 1:30 p.m. on Saturday. The party will start at 2:00 p.m. Please let me know if you can come.
Your friend,
Keiko",ケイコがエミリーに、サラのサプライズ誕生日パーティーを手伝ってほしいとお願いしているメールです。,サラのサプライズパーティー／青いネックレス／チョコレートケーキを依頼,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-P03,G3SET01,3,story,story,The Inventor of the Telephone,電話の発明者,"The Inventor of the Telephone
Alexander Graham Bell was a famous inventor. He was born in Scotland in 1847. When he was a child, he was very interested in music and science. His mother was deaf and could not hear anything, so Alexander wanted to find a way to help people who had trouble hearing.
When Alexander was a young man, he moved to the United States. He became a teacher for deaf students in Boston. While he was teaching, he began to work on a new machine. He wanted to send voices through wires. He worked with his friend, Thomas Watson, for a long time.
On March 10, 1876, they finally finished the machine. Alexander used it to speak to Thomas. He said, ""Mr. Watson, come here. I want to see you."" Thomas heard Alexander’s voice from another room. This was the first telephone call in history.
Later, Alexander started a telephone company. It became very successful, and soon many people around the world began to use telephones. Alexander Graham Bell’s work changed the way people talk to each other forever.",アレクサンダー・グラハム・ベルが電話を発明するまでの物語です。,音楽と科学への興味／ろう学校の先生／最初の電話／電話会社の成功,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET02-P01,G3SET02,1,notice,notice,International Food Festival,インターナショナル・フード・フェスティバル,"International Food Festival
Come and try food from many different countries!
Date: Sunday, October 15
Place: Central Park (Near the blue tent)
Special Event: A cooking lesson by Vanessa Wong at 11:00 a.m.
Tickets: $5 for adults, free for children under 12.
If you want to take the cooking lesson, please send an e-mail to Vanessa Wong by October 10.","インターナショナル・フード・フェスティバル
いろいろな国の食べ物を食べに来てください。
日時：10月15日（日）
場所：セントラルパーク（青いテントの近く）
特別イベント：午前11時にヴァネッサ・ウォンさんによる料理教室
チケット：大人5ドル、12歳未満の子どもは無料
料理教室に参加したい人は、10月10日までにヴァネッサ・ウォンさんへメールを送ります。",場所はCentral Park。料理教室に参加するには10月10日までにメールを送る。,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-P02,G3SET02,2,email,email,Grandma’s house,おばあちゃんの家,"From: Brian Carter
To: Miranda Carter
Date: March 2
Subject: Grandma’s house

Hi Miranda,
It was nice to see you at the park yesterday. We’re family, but we don’t see each other often enough! I want to talk about planning the family reunion in July. Last year, we had it at Grandma’s house. She moved in February, and her home is too small now. Could we meet at your house instead? I can help you to prepare. What do you think?
Your cousin,
Brian","差出人：ブライアン・カーター
宛先：ミランダ・カーター
日付：3月2日
件名：おばあちゃんの家

ミランダへ
昨日公園で会えてよかったです。私たちは家族ですが、あまり会えていませんね。7月の家族の集まりの計画について話したいです。去年はおばあちゃんの家で行いました。おばあちゃんは2月に引っ越し、今の家は小さすぎます。代わりにあなたの家で集まれますか。準備を手伝うことができます。どう思いますか。
いとこのブライアンより",ブライアンは家族の集まりについて相談している。おばあちゃんの家は小さくなったので、ミランダの家でできないか尋ねている。,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-P03,G3SET02,3,story,story,A Special Way to Grow Vegetables,野菜を育てる特別な方法,"A Special Way to Grow Vegetables
In some places, it is difficult to grow vegetables because the weather is very cold. However, three sisters who lived on a farm in a cold area found a special way to solve this problem. They used large glass boxes to keep the plants warm.
In 1945, they started a food company to sell their vegetables. People were surprised because the vegetables were very fresh and delicious even in winter. The sisters worked together for a long time. Today, many farmers use their idea to grow food in cold places. This story shows how important it is to think of new ideas.","野菜を育てる特別な方法
とても寒い天候のため、場所によっては野菜を育てるのが難しいです。しかし、寒い地域の農場に住んでいた三姉妹は、この問題を解決する特別な方法を見つけました。彼女たちは大きなガラスの箱を使って植物を暖かく保ちました。
1945年、彼女たちは野菜を売る食品会社を始めました。冬でも野菜がとても新鮮でおいしかったので、人々は驚きました。姉妹は長い間協力して働きました。今日では、多くの農家が寒い場所で食べ物を育てるために彼女たちの考えを使っています。この話は、新しいアイデアを考えることがどれほど大切かを示しています。",寒い地域で野菜を育てるため、三姉妹がガラスの箱を使った。1945年に食品会社を始めた。,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET03-P01,G3SET03,1,notice,notice,Summer Reading Challenge,夏の読書チャレンジ,"Summer Reading Challenge
Do you like reading books? Join our summer reading challenge at Green Library.
Date: July 1 to August 20
Place: Green Library, second floor
How to join: Bring your library card and write your name at the front desk.
If you read five books, you will get a free notebook. If you read ten books, you can join a small party at the end of August.
Please ask Ms. Brown for more information.",グリーン図書館で行われる夏の読書チャレンジのお知らせです。参加するには図書館カードを持って受付で名前を書きます。5冊読むと無料のノート、10冊読むと8月末の小さなパーティーに参加できます。,図書館カードを持参／5冊でノート／10冊でパーティー参加,Original item modeled on EIKEN Grade 3 format; uses uploaded vocabulary/phrase list as reference; not copied from past exam questions.
G3SET03-P02,G3SET03,2,email,email,Camping This Weekend,今週末のキャンプ,"Hi Ken,

My family and I are going camping near Lake White this weekend. My parents said I can invite one friend, so I hope you can come with us. We will leave on Saturday morning and come back home on Sunday afternoon.

We will cook dinner outside and look at the stars at night. It may get cold after dark, so please bring a warm jacket. You do not need to bring food because my mother will prepare enough for everyone.

Please tell me by Thursday if you can come.

Your friend,
Anna",Anna が Ken に週末のキャンプへ誘うメールです。土曜の朝に出発し日曜の午後に帰宅します。夜は寒くなるかもしれないので暖かい上着を持ってくるように伝えています。食べ物はAnnaの母が十分に準備します。,キャンプへの招待／土曜出発・日曜午後帰宅／暖かい上着を持参,Original item modeled on EIKEN Grade 3 format; uses uploaded vocabulary/phrase list as reference; not copied from past exam questions.
G3SET03-P03,G3SET03,3,story,story,Mika and the Old Camera,ミカと古いカメラ,"Mika visited her grandfather during spring vacation. One rainy afternoon, she helped him clean up his room. Under a small table, she found an old camera. Her grandfather smiled and said, “I used that camera when I was young. I took pictures all over our town.”

Mika was interested in the camera. It was different from her phone because she could not see the pictures right away. Her grandfather taught her how to use it. At first, it was difficult, but she did her best.

The next day, Mika decided to take pictures of her town. She took pictures of the station, the river, and the old bakery. After a while, she noticed many things she had never looked at carefully before.

When Mika came back to school, she showed her photos to her classmates. They were surprised at the beautiful pictures. Mika was proud of them. She learned that old things can help people find new ideas.",春休みに祖父を訪ねたMikaは、部屋の片づけ中に古いカメラを見つけます。祖父から使い方を教わり、そのカメラで町の写真を撮ることにしました。駅や川、古いパン屋を撮るうちに、今まで気づかなかった町の良さを発見します。学校で写真を見せると、友達は美しさに驚きました。,古いカメラを発見／祖父が使い方を教える／町の写真を撮る／学校で写真を見せる,Original item modeled on EIKEN Grade 3 format; uses uploaded vocabulary/phrase list as reference; not copied from past exam questions.
G3SET04-P01,G3SET04,1,notice,notice,Summer Music Day,サマー・ミュージック・デー,"Summer Music Day
Come to the city park this Saturday and enjoy music by students from three junior high schools.
Date: Saturday, July 12
Time: 10:00 a.m. to 2:00 p.m.
Place: Green City Park
Please bring a hat and a bottle of water. You can buy sandwiches and juice near the stage.
If it rains, the event will be held in the community center next to the park.",市の公園で行われる中学生による音楽イベントのお知らせです。帽子と水を持参し、雨の場合は公園の隣のコミュニティセンターで行われます。,7月12日土曜日／10時から2時／帽子と水／雨ならコミュニティセンター,Original item modeled on EIKEN Grade 3 format; uses uploaded vocabulary/phrase list as reference; not copied from past exam questions.
