id,word,level,frequency,part_of_speech,meaning_ja,meaning_cn,phrase,example_en,example_ja,example_cn,synonym
901,a few,eiken3,901,熟語,2、3の〜,几个；一些,a few minutes,Please wait a few minutes here.,ここで数分待ってください。,请在这里等几分钟。,some
902,a glass of,eiken3,902,熟語,コップ1杯の〜,一杯……,a glass of milk,I drink a glass of milk every morning.,私は毎朝牛乳を一杯飲みます。,我每天早上喝一杯牛奶。,
903,a little too,eiken3,903,熟語,少し〜すぎる,稍微太……,a little too big,This sweater is a little too big for me.,このセーターは私には少し大きすぎます。,这件毛衣对我来说有点太大了。,
904,a lot,eiken3,904,熟語,たいへん；非常に,很多；非常,help a lot,Your advice helped me a lot.,あなたの助言は私にとても役立ちました。,你的建议对我很有帮助。,very much
905,a lot of,eiken3,905,熟語,多くの〜,许多……,a lot of books,I have a lot of books in my room.,私の部屋にはたくさんの本があります。,我的房间里有很多书。,many
906,a pair of,eiken3,906,熟語,1組の〜；1足の〜,一双；一副,a pair of shoes,I bought a pair of shoes yesterday.,昨日、靴を一足買いました。,我昨天买了一双鞋。,
907,a piece of,eiken3,907,熟語,1切れの〜；1枚の〜,一块；一张,a piece of cake,Would you like a piece of cake?,ケーキを一切れいかがですか。,你要一块蛋糕吗？,
908,a sheet of,eiken3,908,熟語,1枚の〜,一张……,a sheet of paper,She wrote her name on a sheet of paper.,彼女は紙に名前を書きました。,她在一张纸上写了名字。,
909,a slice of,eiken3,909,熟語,1切れの〜,一片……,a slice of bread,He ate a slice of bread for breakfast.,彼は朝食にパンを一切れ食べました。,他早餐吃了一片面包。,
910,after a while,eiken3,910,熟語,しばらくして,过了一会儿,after a while,"After a while, it started to rain.",しばらくして、雨が降り始めました。,过了一会儿，开始下雨了。,later
911,after school,eiken3,911,熟語,放課後に,放学后,after school,I play soccer after school on Fridays.,金曜日の放課後にサッカーをします。,我星期五放学后踢足球。,
912,agree with,eiken3,912,熟語,〜に同意する,同意……,agree with me,Do you agree with this idea?,あなたはこの考えに賛成ですか。,你同意这个想法吗？,
913,all over the world,eiken3,913,熟語,世界中で,全世界,all over the world,This song is loved all over the world.,この歌は世界中で愛されています。,这首歌在全世界都受欢迎。,worldwide
