answer_id,attempt_id,student_id,set_id,question_id,student_answer,correct_option,is_correct,answered_at,review_flag,review_note,weak_point_tag
A001-SET01-Q01,A001,S001,SET01,SET01-Q01,,B,,,,,vocabulary
A001-SET01-Q02,A001,S001,SET01,SET01-Q02,,A,,,,,vocabulary
A001-SET01-Q03,A001,S001,SET01,SET01-Q03,,B,,,,,vocabulary
A001-SET01-Q04,A001,S001,SET01,SET01-Q04,,D,,,,,vocabulary
A001-SET01-Q05,A001,S001,SET01,SET01-Q05,,B,,,,,vocabulary
A001-SET01-Q06,A001,S001,SET01,SET01-Q06,,C,,,,,vocabulary
A001-SET01-Q07,A001,S001,SET01,SET01-Q07,,B,,,,,vocabulary
A001-SET01-Q08,A001,S001,SET01,SET01-Q08,,B,,,,,vocabulary
A001-SET01-Q09,A001,S001,SET01,SET01-Q09,,A,,,,,vocabulary
A001-SET01-Q10,A001,S001,SET01,SET01-Q10,,A,,,,,vocabulary
A001-SET01-Q11,A001,S001,SET01,SET01-Q11,,A,,,,,conversation
A001-SET01-Q12,A001,S001,SET01,SET01-Q12,,D,,,,,conversation
A001-SET01-Q13,A001,S001,SET01,SET01-Q13,,D,,,,,conversation
A001-SET01-Q14,A001,S001,SET01,SET01-Q14,,A,,,,,conversation
A001-SET01-Q15,A001,S001,SET01,SET01-Q15,,D,,,,,conversation
A001-SET01-Q16,A001,S001,SET01,SET01-Q16,,C,,,,,reading
A001-SET01-Q17,A001,S001,SET01,SET01-Q17,,C,,,,,reading
A001-SET01-Q18,A001,S001,SET01,SET01-Q18,,C,,,,,reading
A001-SET01-Q19,A001,S001,SET01,SET01-Q19,,D,,,,,reading
A001-SET01-Q20,A001,S001,SET01,SET01-Q20,,A,,,,,reading
A001-SET01-Q21,A001,S001,SET01,SET01-Q21,,A,,,,,reading
A001-SET01-Q22,A001,S001,SET01,SET01-Q22,,D,,,,,reading
A001-SET01-Q23,A001,S001,SET01,SET01-Q23,,A,,,,,reading
A001-SET01-Q24,A001,S001,SET01,SET01-Q24,,A,,,,,reading
A001-SET01-Q25,A001,S001,SET01,SET01-Q25,,A,,,,,reading
A001-SET01-Q26,A001,S001,SET01,SET01-Q26,,B,,,,,reading
A001-SET01-Q27,A001,S001,SET01,SET01-Q27,,A,,,,,reading
A001-SET01-Q28,A001,S001,SET01,SET01-Q28,,D,,,,,reading
A001-SET01-Q29,A001,S001,SET01,SET01-Q29,,D,,,,,reading
A001-SET01-Q30,A001,S001,SET01,SET01-Q30,,C,,,,,reading
A001-SET02-Q01,A001,S001,SET02,SET02-Q01,,D,,,,,vocabulary
A001-SET02-Q02,A001,S001,SET02,SET02-Q02,,A,,,,,vocabulary
A001-SET02-Q03,A001,S001,SET02,SET02-Q03,,B,,,,,vocabulary
A001-SET02-Q04,A001,S001,SET02,SET02-Q04,,A,,,,,vocabulary
A001-SET02-Q05,A001,S001,SET02,SET02-Q05,,D,,,,,vocabulary
A001-SET02-Q06,A001,S001,SET02,SET02-Q06,,A,,,,,vocabulary
A001-SET02-Q07,A001,S001,SET02,SET02-Q07,,B,,,,,vocabulary
A001-SET02-Q08,A001,S001,SET02,SET02-Q08,,A,,,,,vocabulary
A001-SET02-Q09,A001,S001,SET02,SET02-Q09,,A,,,,,vocabulary
A001-SET02-Q10,A001,S001,SET02,SET02-Q10,,A,,,,,vocabulary
A001-SET02-Q11,A001,S001,SET02,SET02-Q11,,D,,,,,conversation
A001-SET02-Q12,A001,S001,SET02,SET02-Q12,,A,,,,,conversation
A001-SET02-Q13,A001,S001,SET02,SET02-Q13,,A,,,,,conversation
A001-SET02-Q14,A001,S001,SET02,SET02-Q14,,D,,,,,conversation
A001-SET02-Q15,A001,S001,SET02,SET02-Q15,,D,,,,,conversation
A001-SET02-Q16,A001,S001,SET02,SET02-Q16,,A,,,,,reading
A001-SET02-Q17,A001,S001,SET02,SET02-Q17,,D,,,,,reading
A001-SET02-Q18,A001,S001,SET02,SET02-Q18,,D,,,,,reading
A001-SET02-Q19,A001,S001,SET02,SET02-Q19,,D,,,,,reading
A001-SET02-Q20,A001,S001,SET02,SET02-Q20,,C,,,,,reading
A001-SET02-Q21,A001,S001,SET02,SET02-Q21,,D,,,,,reading
A001-SET02-Q22,A001,S001,SET02,SET02-Q22,,B,,,,,reading
A001-SET02-Q23,A001,S001,SET02,SET02-Q23,,D,,,,,reading
A001-SET02-Q24,A001,S001,SET02,SET02-Q24,,A,,,,,reading
A001-SET02-Q25,A001,S001,SET02,SET02-Q25,,B,,,,,reading
A001-SET02-Q26,A001,S001,SET02,SET02-Q26,,A,,,,,reading
A001-SET02-Q27,A001,S001,SET02,SET02-Q27,,A,,,,,reading
A001-SET02-Q28,A001,S001,SET02,SET02-Q28,,D,,,,,reading
A001-SET02-Q29,A001,S001,SET02,SET02-Q29,,A,,,,,reading
A001-SET02-Q30,A001,S001,SET02,SET02-Q30,,C,,,,,reading
A001-SET03-Q01,A001,S001,SET03,SET03-Q01,,B,,,,,vocabulary
A001-SET03-Q02,A001,S001,SET03,SET03-Q02,,B,,,,,vocabulary
A001-SET03-Q03,A001,S001,SET03,SET03-Q03,,C,,,,,vocabulary
A001-SET03-Q04,A001,S001,SET03,SET03-Q04,,D,,,,,vocabulary
A001-SET03-Q05,A001,S001,SET03,SET03-Q05,,A,,,,,vocabulary
A001-SET03-Q06,A001,S001,SET03,SET03-Q06,,C,,,,,vocabulary
A001-SET03-Q07,A001,S001,SET03,SET03-Q07,,D,,,,,vocabulary
A001-SET03-Q08,A001,S001,SET03,SET03-Q08,,A,,,,,vocabulary
A001-SET03-Q09,A001,S001,SET03,SET03-Q09,,C,,,,,vocabulary
A001-SET03-Q10,A001,S001,SET03,SET03-Q10,,D,,,,,vocabulary
A001-SET03-Q11,A001,S001,SET03,SET03-Q11,,A,,,,,conversation
A001-SET03-Q12,A001,S001,SET03,SET03-Q12,,B,,,,,conversation
A001-SET03-Q13,A001,S001,SET03,SET03-Q13,,D,,,,,conversation
A001-SET03-Q14,A001,S001,SET03,SET03-Q14,,B,,,,,conversation
A001-SET03-Q15,A001,S001,SET03,SET03-Q15,,A,,,,,conversation
A001-SET03-Q16,A001,S001,SET03,SET03-Q16,,A,,,,,reading
A001-SET03-Q17,A001,S001,SET03,SET03-Q17,,B,,,,,reading
