set_no,set_title,question_no_in_set,global_question_id,question_type,question_text,choice_1,choice_2,choice_3,choice_4,correct_choice_no,correct_answer,explanation_cn,target_word,part_of_speech,jp_meaning,cn_meaning,collocation,source_basis,child_answer,auto_result_formula,attempt_count,wrong_count,error_rate_formula,last_practiced_date,last_wrong_date,status,notes
1,EIKEN Pre-2 Practice Set 01,1,1,词汇・熟语四选一,I'm _____ of big dogs.,handsome,afraid,alike,similar,2,afraid,正确答案是 afraid，意思是：害怕的；担心的。例句考查：be afraid of。,afraid,形容词,心配して；怖がって,害怕的；担心的,be afraid of,uploaded_vocab_database,,"=IF(T2="""","""",IF(T2=K2,""○"",""×""))",0,0,"=IF(V2=0,"""",W2/V2)",,,未练习,
1,EIKEN Pre-2 Practice Set 01,2,2,词汇・熟语四选一,We studied _____ history at school.,ancient,common,extra,another,1,ancient,正确答案是 ancient，意思是：古代的。例句考查：ancient civilization。,ancient,形容词,古代の；古来の,古代的,ancient civilization,uploaded_vocab_database,,"=IF(T3="""","""",IF(T3=K3,""○"",""×""))",0,0,"=IF(V3=0,"""",W3/V3)",,,未练习,
1,EIKEN Pre-2 Practice Set 01,3,3,词汇・熟语四选一,Can I have _____ cup of tea?,delighted,suitable,flat,another,4,another,正确答案是 another，意思是：另一个；再一个。例句考查：another one。,another,形容词,別の；もう1つの,另一个；再一个,another one,uploaded_vocab_database,,"=IF(T4="""","""",IF(T4=K4,""○"",""×""))",0,0,"=IF(V4=0,"""",W4/V4)",,,未练习,
1,EIKEN Pre-2 Practice Set 01,4,4,词汇・熟语四选一,The _____ wind was very cold.,arctic,fresh,enjoyable,successful,1,arctic,正确答案是 arctic，意思是：北极的。例句考查：arctic explorer。,arctic,形容词,北極の,北极的,arctic explorer,uploaded_vocab_database,,"=IF(T5="""","""",IF(T5=K5,""○"",""×""))",0,0,"=IF(V5=0,"""",W5/V5)",,,未练习,
1,EIKEN Pre-2 Practice Set 01,5,5,词汇・熟语四选一,The baby fell _____ quickly.,comfortable,asleep,enough,confident,2,asleep,正确答案是 asleep，意思是：睡着的。例句考查：fall asleep。,asleep,形容词,眠って,睡着的,fall asleep,uploaded_vocab_database,,"=IF(T6="""","""",IF(T6=K6,""○"",""×""))",0,0,"=IF(V6=0,"""",W6/V6)",,,未练习,
1,EIKEN Pre-2 Practice Set 01,6,6,会话补全,"A: I'm going to the library after school. Do you want to come with me?
B: Sorry, I can't. I have to help my mother cook dinner.
A: That's OK. _____
B: Maybe tomorrow.",You should buy a book.,I don't like cooking.,The library is closed.,I'll ask you again later.,4,I'll ask you again later.,对方今天不能去，所以'下次再问你'最自然。,,,,,,generated_from_pre2_pattern,,"=IF(T7="""","""",IF(T7=K7,""○"",""×""))",0,0,"=IF(V7=0,"""",W7/V7)",,,未练习,
1,EIKEN Pre-2 Practice Set 01,7,7,会话补全,"A: Excuse me. Could you tell me how to get to the station?
B: Sure. Go straight and turn right at the next corner.
A: Thank you. Is it far from here?
B: No, _____",it takes about five minutes on foot.,I prefer trains to buses.,I lost my ticket yesterday.,you should practice more.,1,it takes about five minutes on foot.,回答距离远近时，用步行大约几分钟很自然。,,,,,,generated_from_pre2_pattern,,"=IF(T8="""","""",IF(T8=K8,""○"",""×""))",0,0,"=IF(V8=0,"""",W8/V8)",,,未练习,
1,EIKEN Pre-2 Practice Set 01,8,8,语句补全・语法,"Mike was very tired, but he continued _____ for the English test.",studied,study,studying,to studying,3,studying,continue doing 表示'继续做某事'。,,,,,,generated_from_pre2_pattern,,"=IF(T9="""","""",IF(T9=K9,""○"",""×""))",0,0,"=IF(V9=0,"""",W9/V9)",,,未练习,
1,EIKEN Pre-2 Practice Set 01,9,9,语句补全・语法,My parents don't allow me _____ video games before finishing homework.,playing,to play,play,played,2,to play,allow 人 to do 表示'允许某人做某事'。,,,,,,generated_from_pre2_pattern,,"=IF(T10="""","""",IF(T10=K10,""○"",""×""))",0,0,"=IF(V10=0,"""",W10/V10)",,,未练习,
1,EIKEN Pre-2 Practice Set 01,10,10,短文空所補充,"Last Sunday, Ken and his family went to a small town near the sea. Ken's father wanted to relax, but Ken wanted to do something exciting. They rented bicycles and rode along the beach. At first, Ken was worried because he had not ridden a bike for a long time. However, his sister helped him, and soon he began to enjoy it. Riding bikes was a good way to see many beautiful places.

(Blank) Ken was worried at first because he _____.",forgot to bring money,had not ridden a bike for a long time,wanted to go home early,could not find his sister,2,had not ridden a bike for a long time,本文中说Ken很久没有骑自行车，所以一开始担心。,,,,,,generated_from_pre2_pattern,,"=IF(T11="""","""",IF(T11=K11,""○"",""×""))",0,0,"=IF(V11=0,"""",W11/V11)",,,未练习,
