ID,English,category,Japanese,Chinese,Example_English short,Example_English,Example_Japanese,Example_Chinese,Importance,mistake time,Frequncy in test
1,let,??,?に…させる,?；允?,let me do,My mother let me play video games after homework.,母は宿題を終えた後でゲームをさせてくれた。,???我在做完作?后玩游?。,A,0,A
2,decide,??,決心する,决定,decide to do,I decided to study English every day.,私は毎日英語を勉強することに決めた。,我决定?天学?英?。,A,0,A
3,leave,??,置いたままにする；去離れる,留下；??,leave open,Please leave the window open.,,?把窗??着。,A,0,A
4,long,??,切望する,?望,long for,She longed for peace and quiet.,,??望和平与安静。,A,0,A
5,practice,??,練習する,??,practice doing,He practices playing the guitar every night.,,他?天?上???吉他。,A,0,A
6,move,??,引っ越す；動かす,搬家；移?,move to,We moved to Yokohama last year.,,我?去年搬到了横?。,A,0,A
7,pay,??,支払う,支付,pay for,I paid 500 yen for the lunch.,,我?午餐支付了500日元。,A,0,A
8,change,??,変える；変わる,改?,change into,Water changes into ice in winter.,,水在冬天会?成冰。,A,0,A
9,spell,??,つづる,?写,spell a word,Can you spell your name in English?,,?能用英??写?的名字?？,A,0,A
10,grow,??,成長する；増える,成?；增加,grow quickly,Vegetables grow quickly in summer.,,蔬菜在夏天?得很快。,A,0,A
11,spend,??,費やす,花?,spend time doing,She spends a lot of time reading books.,,?花很多????。,A,0,A
12,order,??,注文する；命じる,点餐；命令,order food,We ordered pizza for dinner.,,我??餐点了披?。,A,0,A
13,share,??,共有する,分享；共用,share with,I shared my umbrella with my friend.,,我和朋友共用了一把?。,A,0,A
14,check,??,確かめる；調べる,??,check carefully,Please check your homework carefully.,,?仔????的作?。,A,0,A
15,forget,??,忘れる,忘?,forget to do,I forgot to bring my notebook today.,,我今天忘了???本。,A,0,A
16,guide,??,案内する,引?；??,guide around,He guided us around Tokyo Station.,,他?我?参?了?京站。,A,0,A
17,hold,??,開催する；持つ,??；拿着,hold a meeting / hold a party,Our school will hold a sports festival next month.,,我?学校下个月将????会。,A,0,A
18,report,??,報道する；報告する,?道；?告,report to,She reported the accident to the police.,,?向警察?告了事故。,A,0,A
