question_id,set_id,question_no,section,question_type,passage_id,prompt,question_text_ja,option_A,option_B,option_C,option_D,option_A_ja,option_B_ja,option_C_ja,option_D_ja,correct_option,correct_answer_text,correct_answer_text_ja,explanation_ja,vocabulary_notes_ja,difficulty,skill_tag,weak_point_tag,target_vocab,source_style
G3SET01-Q01,G3SET01,1,短文の語句空所補充,sentence_fill,,My brother (  ) the basketball club last week. He practices every day.,,joined,learned,kept,put,,,,,A,joined,join,「先週バスケットボール部に入部した」という意味になります。部活動などに入る際は join を使います。,join,EIKEN_Grade3,vocabulary,verb_choice,join,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q02,G3SET01,2,短文の語句空所補充,sentence_fill,,"It was raining hard, so my shoes were very (  ) when I got home.",,tall,short,dirty,useful,,,,,C,dirty,dirty,「雨が激しく降っていたので、家に着いたとき靴がとても汚れていた」となります。文脈から dirty が最適です。,dirty,EIKEN_Grade3,vocabulary,adjective_context,dirty,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q03,G3SET01,3,短文の語句空所補充,sentence_fill,,A: Where is the bank? B: (  ) straight down this street. You'll see it next to the post office.,,Break,Catch,Go,Put,,,,,C,Go,go straight,道案内で「この道をまっすぐ行きなさい」という命令文です。Go straight は定番の表現です。,go straight,EIKEN_Grade3,expression,imperative,go straight,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q04,G3SET01,4,短文の語句空所補充,sentence_fill,,"I have known Yuki for a long time. In (  ), we met in elementary school.",,fact,order,time,case,,,,,A,fact,in fact,In fact で「実は／実際は」という熟語になります。前の文の内容を具体的に補足しています。,in fact,EIKEN_Grade3,idiom,phrase,in fact,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q05,G3SET01,5,短文の語句空所補充,sentence_fill,,A: You don't look well. What's the (  )? B: I have a bad headache.,,wallet,matter,face,gift,,,,,B,matter,What's the matter?,What’s the matter? は「どうしたのですか？」と体調や様子を尋ねる決まり文句です。,What's the matter?,EIKEN_Grade3,conversation,fixed_phrase,What's the matter?,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q06,G3SET01,6,短文の語句空所補充,sentence_fill,,I went to the library to (  ) some books for my homework.,,tell,think,borrow,put,,,,,C,borrow,borrow,図書館へ行く目的として「本を借りる（borrow）」が文脈に合います。,borrow,EIKEN_Grade3,vocabulary,verb_choice,borrow,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q07,G3SET01,7,短文の語句空所補充,sentence_fill,,"In Japan, (  ) are very useful because you can buy medicine and food there.",,churches,drugstores,libraries,post offices,,,,,B,drugstores,drugstore,「薬や食べ物が買える」場所なので、ドラッグストアが正解です。,drugstore,EIKEN_Grade3,vocabulary,noun_context,drugstore,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q08,G3SET01,8,短文の語句空所補充,sentence_fill,,"A: Do you have any plans for the weekend? B: No, I'll (  ) stay home and watch movies.",,exactly,probably,nearly,already,,,,,B,probably,probably,「たぶん家にいて映画を見るつもりだ」という推測を表す副詞 probably が適切です。,probably,EIKEN_Grade3,vocabulary,adverb_context,probably,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q09,G3SET01,9,短文の語句空所補充,sentence_fill,,Ken is good at (  ). He often makes dinner for his family.,,cook,to cook,cooked,cooking,,,,,D,cooking,be good at ~ing,be good at ~ing（〜するのが得意だ）の形にします。前置詞 at の後は動名詞になります。,be good at ~ing,EIKEN_Grade3,grammar,gerund,be good at ~ing,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q10,G3SET01,10,短文の語句空所補充,sentence_fill,,It will (  ) you about 15 minutes to walk to the station.,,make,fall,take,forget,,,,,C,take,It takes ... to ~,It takes (人) 時間 to ~ で「（人が）〜するのに（時間）がかかる」という重要構文です。,It takes ... to ~,EIKEN_Grade3,grammar,sentence_pattern,It takes ... to ~,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q11,G3SET01,11,短文の語句空所補充,sentence_fill,,My mother told me (  ) my room before I went out.,,clean,to clean,cleaned,cleans,,,,,B,to clean,tell 人 to do,tell + 人 + to do で「人に〜するように言う」という不定詞の形をとります。,tell 人 to do,EIKEN_Grade3,grammar,infinitive,tell 人 to do,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q12,G3SET01,12,短文の語句空所補充,sentence_fill,,This juice is made (  ) fresh apples from Aomori.,,of,into,before,by,,,,,A,of,be made of,be made of ~ で「（材料）でできている」となります。,be made of,EIKEN_Grade3,grammar,preposition,be made of,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q13,G3SET01,13,短文の語句空所補充,sentence_fill,,A: Tim is late (  ) usual. B: Yes. He is never on time.,,else,just,first,as,,,,,D,as,as usual,as usual で「いつものように」という熟語です。Timは「相変わらず」遅刻している状況です。,as usual,EIKEN_Grade3,idiom,phrase,as usual,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q14,G3SET01,14,短文の語句空所補充,sentence_fill,,I can go to the park on (  ) Saturday or Sunday. Which is better for you?,,enough,either,else,ever,,,,,B,either,either A or B,either A or B で「AかBのどちらか」となります。土曜か日曜のどちらかという意味です。,either A or B,EIKEN_Grade3,grammar,conjunction,either A or B,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q15,G3SET01,15,短文の語句空所補充,sentence_fill,,"In summer, it's too hot to run during the day, so I often go running when it gets (  ).",,young,quiet,dark,real,,,,,C,dark,get dark,「外が暗くなる（gets dark）ころに走りに行く」となります。昼間は暑すぎるという文脈に合います。,get dark,EIKEN_Grade3,vocabulary,adjective_context,get dark,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q16,G3SET01,16,会話文の文選択,dialogue_completion,,"Boy: I'm planning to go to Kyoto this summer. (  ) Girl: Yes, I went there last year. It's a beautiful city.",,Would you like some?,Have you ever been there?,Did you find your bag?,How much are the tickets?,,,,,B,Have you ever been there?,Have you ever been there?,"相手が “Yes, I went there last year.” と答えているので、経験を問う Have you ever been there? が適切です。",Have you ever been there?,EIKEN_Grade3,conversation,present_perfect,Have you ever been there?,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q17,G3SET01,17,会話文の文選択,dialogue_completion,,"Daughter: Mom, I'm hungry. Is dinner ready? Mother: Not yet. (  ) Daughter: OK. I'll wait.",,It'll take ten more minutes.,I ate a sandwich.,You should go to bed.,The market is closed.,,,,,A,It'll take ten more minutes.,It will take ...,夕食ができたか問われ、Not yet. の後に「あと10分かかる」と続くのが自然です。,It will take ...,EIKEN_Grade3,conversation,context,It will take ...,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q18,G3SET01,18,会話文の文選択,dialogue_completion,,Man: Excuse me. How can I get to the museum? Woman: (  ) Man: I see. Thank you.,,I'll take it.,It's across from the station.,It was very interesting.,You look busy.,,,,,B,It's across from the station.,across from,博物館への行き方を尋ねているので、場所を教える “It’s across from the station.” が正解です。,across from,EIKEN_Grade3,conversation,directions,across from,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q19,G3SET01,19,会話文の文選択,dialogue_completion,,"Boy: That's a cool T-shirt, Tom. Boy 2: Thanks. (  )",,I bought it at a concert.,It's very expensive.,I'll give it back.,It's in the kitchen.,,,,,A,I bought it at a concert.,bought,Tシャツを褒められた返答として、どこで買ったかを説明する内容が自然です。,bought,EIKEN_Grade3,conversation,natural_response,bought,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q20,G3SET01,20,会話文の文選択,dialogue_completion,,"Girl: Shall we go to the movie tomorrow? Boy: I'd love to, but I have to study for a test. Girl: (  )",,That's a good idea.,That's too bad.,You're welcome.,I agree with you.,,,,,B,That's too bad.,That's too bad.,誘いを断られた際に「それは残念ですね（That’s too bad）」と返す一般的な対話の流れです。,That's too bad.,EIKEN_Grade3,conversation,natural_response,That's too bad.,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q21,G3SET01,21,長文の内容一致選択,reading_comprehension,G3SET01-P01,What will the volunteers do on June 20?,,Clean the school cafeteria.,Plant flowers and trees.,Buy juice and cookies for teachers.,Paint the front gate of the school.,,,,,B,Plant flowers and trees.,plant flowers and trees,掲示に “plant flowers and trees” と明記されています。,plant flowers and trees,EIKEN_Grade3,reading,detail,plant flowers and trees,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q22,G3SET01,22,長文の内容一致選択,reading_comprehension,G3SET01-P01,"If a student has garden gloves, they should",,give them to the school.,sell them at the party.,bring them to the event.,leave them in the cafeteria.,,,,,C,bring them to the event.,bring,注意書きに “Bring your own garden gloves if you have them.” とあります。,bring,EIKEN_Grade3,reading,detail,bring,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-Q23,G3SET01,23,長文の内容一致選択,reading_comprehension,G3SET01-P02,Why is Keiko having a party this Saturday?,,To celebrate Emily's birthday.,To help her brother with his homework.,"To surprise her friend, Sarah.",To show her new house to Emily.,,,,,C,"To surprise her friend, Sarah.",surprise party,Eメールに “I’m planning a surprise party for her” とあります。,surprise party,EIKEN_Grade3,reading,main_reason,surprise party,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
