ID,English,词性,日文释义,中文翻译,英文例句,例句日文,例句中文,熟语/搭配,重要度,复习次数,错误次数,出现频率,反义词,反义词日语翻译,近义词,近义词日语翻译
1,let,动词,〜に…させる,让；允许,My mother let me play video games after homework.,母は宿題を終えた後でゲームをさせてくれた。,妈妈让我在做完作业后玩游戏。,let me do,A,0,0,A,prevent; not allow,妨げる；許さない,allow; permit,許す；許可する
2,decide,动词,決心する,决定,I decided to study English every day.,私は毎日英語を勉強することに決めた。,我决定每天学习英语。,decide to do,A,0,0,A,hesitate; be unsure,ためらう；確信がない,choose; make up one's mind,選ぶ；決心する
3,leave,动词,置いたままにする；去離れる,留下；离开,Please leave the window open.,窓を開けたままにしてください。,请把窗户开着。,leave open,A,0,0,A,stay; arrive,残る；到着する,go away; remain,去る；残る
4,long,动词,切望する,渴望,She longed for peace and quiet.,彼女は平和で静かな生活を切望していた。,她渴望和平与安静。,long for,A,0,0,A,dislike; be satisfied,嫌う；満足している,want; wish,欲しがる；願う
5,practice,动词,練習する,练习,He practices playing the guitar every night.,彼は毎晩ギターを弾く練習をしている。,他每天晚上练习弹吉他。,practice doing,A,0,0,A,not care for,気にかけない,train; exercise,練習する；訓練する
6,move,动词,引っ越す；動かす,搬家；移动,We moved to Yokohama last year.,私たちは去年横浜に引っ越しました。,我们去年搬到了横滨。,move to,A,0,0,A,stay; stop,残る；止まる,go; change place,移動する；場所を変える
7,pay,动词,支払う,支付,I paid 500 yen for the lunch.,私は昼食に500円を払いました。,我为午餐支付了500日元。,pay for,A,0,0,A,receive,受け取る,give money; spend,支払う；使う
8,change,动词,変える；変わる,改变,Water changes into ice in winter.,水は冬に氷に変わります。,水在冬天会变成冰。,change into,A,0,0,A,remain; keep,残る；保つ,alter; become different,変える；変わる
9,spell,动词,つづる,拼写,Can you spell your name in English?,あなたの名前を英語でつづれますか。,你能用英语拼写你的名字吗？,spell a word,A,0,0,A,—,—,write letters; say letters,つづる；文字で言う
10,grow,动词,成長する；増える,成长；增加,Vegetables grow quickly in summer.,野菜は夏に早く育ちます。,蔬菜在夏天长得很快。,grow quickly,A,0,0,A,shrink; decrease,縮む；減少する,increase; become bigger,増える；大きくなる
11,spend,动词,費やす,花费,She spends a lot of time reading books.,彼女は本を読むことに多くの時間を費やしています。,她花很多时间读书。,spend time doing,A,0,0,A,save,救う；節約する,use; pass,使う；過ごす
12,order,动词,注文する；命じる,点餐；命令,We ordered pizza for dinner.,私たちは夕食にピザを注文しました。,我们晚餐点了披萨。,order food,A,0,0,A,cancel,取り消す,ask for; command,注文する；命じる
13,share,动词,共有する,分享；共用,I shared my umbrella with my friend.,私は友だちと傘を共有しました。,我和朋友共用了一把伞。,share with,A,0,0,A,keep; keep for oneself,保つ；独り占めする,divide; use together,分け合う；共有する
14,check,动词,確かめる；調べる,检查,Please check your homework carefully.,宿題を注意深く確認してください。,请仔细检查你的作业。,check carefully,A,0,0,A,ignore; miss,無視する；見逃す,look at; examine,確認する；調べる
15,forget,动词,忘れる,忘记,I forgot to bring my notebook today.,私は今日ノートを持ってくるのを忘れました。,我今天忘了带笔记本。,forget to do,A,0,0,A,remember,覚えている,not remember,忘れる
