passage_id,set_id,passage_no,genre,passage_type,title,title_ja,passage_text,passage_text_ja,key_points_ja,source_style
SET01-P01,SET01,1,email,email,Practice time change,練習時間の変更,"From: Coach Miller
To: Soccer Club
Subject: Practice time change

Hi,

Because the school field is being repaired, Friday’s soccer practice will be held at Green Park. Practice will start at 4:15 p.m., which is thirty minutes later than usual. Please bring your water bottle and wear running shoes because the ground at the park may be hard.

Best,
Coach Miller","差出人：Coach Miller
宛先：Soccer Club
件名：練習時間の変更

こんにちは。

【和訳】Because the school field is being repaired, Friday’s soccer practice will be held at Green Park. Practice will start at 4:15 p.m., which is thirty minutes later than usual. Please bring your water bottle and wear running shoes because the ground at the park may be hard.

それでは。
【和訳】Coach Miller",メール形式の読解です。日時・場所・理由・持ち物など、本文中の具体的な情報に注目します。,Original passage modeled on EIKEN Grade Pre-2 format; not copied from past exams.
SET01-P02,SET01,2,email,email,Art museum trip,美術館へのお出かけ,"From: Sofia
To: Mia
Subject: Art museum trip

Hi,

I went to the city art museum yesterday with my aunt. There was a special exhibition about animals in paintings. My favorite painting showed a white horse running near the sea. The museum shop sold postcards of famous paintings, so I bought three for my friends.

Best,
Sofia","差出人：Sofia
宛先：Mia
件名：美術館へのお出かけ

こんにちは。

【和訳】I went to the city art museum yesterday with my aunt. There was a special exhibition about animals in paintings. My favorite painting showed a white horse running near the sea. The museum shop sold postcards of famous paintings, so I bought three for my friends.

それでは。
【和訳】Sofia",メール形式の読解です。日時・場所・理由・持ち物など、本文中の具体的な情報に注目します。,Original passage modeled on EIKEN Grade Pre-2 format; not copied from past exams.
SET01-P03,SET01,3,short_passage,short_passage,A City Garden,A City Garden,"There was an empty space beside the city hall for many years. Some neighbors wanted to make it useful, so they asked the city to let them make a garden. They planted vegetables and flowers there. During summer, children helped water the plants. The garden became a place where people could meet and talk.","【和訳】There was an empty space beside the city hall for many years. Some neighbors wanted to make it useful, so they asked the city to let them make a garden. They planted vegetables and flowers there. During summer, children helped water the plants. The garden became a place where people could meet and talk.",短文形式の読解です。日時・場所・理由・持ち物など、本文中の具体的な情報に注目します。,Original passage modeled on EIKEN Grade Pre-2 format; not copied from past exams.
SET01-P04,SET01,4,short_passage,short_passage,Learning from Mistakes,Learning from Mistakes,"Maya joined a speech contest for the first time last year. She forgot some words during her speech and felt disappointed. After the contest, her teacher told her that mistakes could help her learn. Maya practiced speaking more slowly and using note cards. This year, she joined the contest again and spoke with confidence.","【和訳】Maya joined a speech contest for the first time last year. She forgot some words during her speech and felt disappointed. After the contest, her teacher told her that mistakes could help her learn. Maya practiced speaking more slowly and using note cards. This year, she joined the contest again and spoke with confidence.",短文形式の読解です。日時・場所・理由・持ち物など、本文中の具体的な情報に注目します。,Original passage modeled on EIKEN Grade Pre-2 format; not copied from past exams.
SET01-P05,SET01,5,short_passage,short_passage,The Night Market,The Night Market,"In River City, a night market is held every Friday in summer. People can buy food, handmade bags, and small toys. Local musicians play music near the fountain, so many families enjoy eating dinner outside. The market also helps small shops because they can meet new customers.","【和訳】In River City, a night market is held every Friday in summer. People can buy food, handmade bags, and small toys. Local musicians play music near the fountain, so many families enjoy eating dinner outside. The market also helps small shops because they can meet new customers.",短文形式の読解です。日時・場所・理由・持ち物など、本文中の具体的な情報に注目します。,Original passage modeled on EIKEN Grade Pre-2 format; not copied from past exams.
SET02-P01,SET02,1,email,email,Beach clean-up,Beach clean-up,"From: Noah
To: Haru
Subject: Beach clean-up

Hi,

Our volunteer group is going to clean Sunrise Beach this Sunday. Last month, we found many plastic bags near the water, so this time we will focus on that area. The work will begin at 9 a.m. and finish before noon. Please wear a hat and bring gloves.

Best,
Noah","差出人：Noah
宛先：Haru
件名：Beach clean-up

こんにちは。

【和訳】Our volunteer group is going to clean Sunrise Beach this Sunday. Last month, we found many plastic bags near the water, so this time we will focus on that area. The work will begin at 9 a.m. and finish before noon. Please wear a hat and bring gloves.

それでは。
【和訳】Noah",メール形式の読解です。日時・場所・理由・持ち物など、本文中の具体的な情報に注目します。,Original passage modeled on EIKEN Grade Pre-2 format; not copied from past exams.
SET02-P02,SET02,2,email,email,New drama club members,New drama club members,"From: Lily
To: Grace
Subject: New drama club members

Hi,

The drama club is looking for new members. Students do not need to have acting experience. We also need people who can make posters, choose music, and help with lights. The first meeting will be on Tuesday after school in the music room.

Best,
Lily","差出人：Lily
宛先：Grace
件名：New drama club members

こんにちは。

【和訳】The drama club is looking for new members. Students do not need to have acting experience. We also need people who can make posters, choose music, and help with lights. The first meeting will be on Tuesday after school in the music room.

それでは。
【和訳】Lily",メール形式の読解です。日時・場所・理由・持ち物など、本文中の具体的な情報に注目します。,Original passage modeled on EIKEN Grade Pre-2 format; not copied from past exams.
SET02-P03,SET02,3,short_passage,short_passage,Saving Water at School,Saving Water at School,"A junior high school started a project to save water. First, students checked how much water was used in the bathrooms and science rooms. Then, they made posters asking everyone to turn off taps carefully. After two months, the school used less water than before. The students were happy because their small actions made a difference.","【和訳】A junior high school started a project to save water. First, students checked how much water was used in the bathrooms and science rooms. Then, they made posters asking everyone to turn off taps carefully. After two months, the school used less water than before. The students were happy because their small actions made a difference.",短文形式の読解です。日時・場所・理由・持ち物など、本文中の具体的な情報に注目します。,Original passage modeled on EIKEN Grade Pre-2 format; not copied from past exams.
SET02-P04,SET02,4,short_passage,short_passage,A New Bus Route,A New Bus Route,"Many people in West Village used to walk twenty minutes to the nearest bus stop. This was difficult for elderly people, especially on rainy days. The town started a new bus route last month. The bus now stops in front of the community center six times a day. More people can visit the library, hospital, and shops easily.","【和訳】Many people in West Village used to walk twenty minutes to the nearest bus stop. This was difficult for elderly people, especially on rainy days. The town started a new bus route last month. The bus now stops in front of the community center six times a day. More people can visit the library, hospital, and shops easily.",短文形式の読解です。日時・場所・理由・持ち物など、本文中の具体的な情報に注目します。,Original passage modeled on EIKEN Grade Pre-2 format; not copied from past exams.
SET02-P05,SET02,5,short_passage,short_passage,The Photo Contest,The Photo Contest,"The town held a photo contest to show the beauty of local nature. People sent in pictures of flowers, birds, rivers, and mountains. The winning photo was taken by a 13-year-old student. It showed the morning sun over a small lake. The photo will be used on next year’s town calendar.","【和訳】The town held a photo contest to show the beauty of local nature. People sent in pictures of flowers, birds, rivers, and mountains. The winning photo was taken by a 13-year-old student. It showed the morning sun over a small lake. The photo will be used on next year’s town calendar.",短文形式の読解です。日時・場所・理由・持ち物など、本文中の具体的な情報に注目します。,Original passage modeled on EIKEN Grade Pre-2 format; not copied from past exams.
