question_id,set_id,question_no,section,question_type,passage_id,prompt,question_text_ja,option_A,option_B,option_C,option_D,option_A_ja,option_B_ja,option_C_ja,option_D_ja,correct_option,correct_answer_text,correct_answer_text_ja,explanation_ja,vocabulary_notes_ja,difficulty,skill_tag,weak_point_tag,target_vocab,source_style
SET01-Q01,SET01,1,短句填空,sentence_fill,,"My brother is too young to cook by himself, so an adult must (____) him in the kitchen.",弟は一人で料理するには幼すぎるので、大人が台所で彼を（　）必要があります。,print,watch,miss,fold,印刷する,見守る,逃す／恋しく思う,折る,B,watch,見守る,文脈から「watch」が最も自然です。意味は「見守る」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"watch = 見守る
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,verb,vocabulary,watch,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q02,SET01,2,短句填空,sentence_fill,,The museum guide spoke slowly so that everyone could (____) her explanation.,博物館の案内係は、みんなが説明を（　）できるようにゆっくり話しました。,understand,borrow,damage,return,理解する,借りる,損害を与える,返す,A,understand,理解する,文脈から「understand」が最も自然です。意味は「理解する」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"understand = 理解する
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,verb,vocabulary,understand,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q03,SET01,3,短句填空,sentence_fill,,"The box was too (____) for one person to carry, so two students lifted it together.",その箱は一人で運ぶには（　）すぎたので、二人の生徒が一緒に持ち上げました。,kind,heavy,straight,bright,親切な,重い,まっすぐな,明るい,B,heavy,重い,文脈から「heavy」が最も自然です。意味は「重い」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"heavy = 重い
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,adjective,vocabulary,heavy,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q04,SET01,4,短句填空,sentence_fill,,"After running three kilometers, Taro felt very (____) and drank a bottle of water.",3キロ走ったあと、太郎はとても（　）感じ、水を一本飲みました。,famous,daily,plastic,thirsty,有名な,毎日の,プラスチックの,のどが渇いた,D,thirsty,のどが渇いた,文脈から「thirsty」が最も自然です。意味は「のどが渇いた」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"thirsty = のどが渇いた
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,adjective,vocabulary,thirsty,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q05,SET01,5,短句填空,sentence_fill,,"The school will (____) a science event next Friday, and many parents will come.",学校は来週金曜日に理科イベントを（　）予定で、多くの保護者が来ます。,catch,hold,drop,forget,捕まえる,開催する／持つ,落とす,忘れる,B,hold,開催する／持つ,文脈から「hold」が最も自然です。意味は「開催する／持つ」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"hold = 開催する／持つ
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,verb,vocabulary,hold,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q06,SET01,6,短句填空,sentence_fill,,"A: I’m sorry I broke your ruler.
B: That’s OK. It was an old one, and I can (____) another one.","A：あなたの定規を壊してごめんなさい。
B：大丈夫。古いものだったし、別のものを（　）ことができます。",solve,wake,buy,climb,解決する,起こす,買う,登る,C,buy,買う,文脈から「buy」が最も自然です。意味は「買う」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"buy = 買う
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,verb,vocabulary,buy,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q07,SET01,7,短句填空,sentence_fill,,The restaurant is popular because its meals are delicious and the prices are (____).,そのレストランは料理がおいしく、値段が（　）なので人気があります。,cloudy,reasonable,wooden,lonely,曇った,手ごろな,木製の,さびしい,B,reasonable,手ごろな,文脈から「reasonable」が最も自然です。意味は「手ごろな」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"reasonable = 手ごろな
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,adjective,vocabulary,reasonable,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q08,SET01,8,短句填空,sentence_fill,,The soccer coach told the players to (____) carefully before the game to avoid injuries.,サッカーのコーチは、けがを避けるために試合前に注意して（　）よう選手たちに言いました。,decorate,stretch,count,trade,飾る,ストレッチする,数える,交換する,B,stretch,ストレッチする,文脈から「stretch」が最も自然です。意味は「ストレッチする」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"stretch = ストレッチする
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,verb,vocabulary,stretch,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q09,SET01,9,短句填空,sentence_fill,,Sarah could not hear the announcement because the room was too (____).,部屋があまりにも（　）だったので、サラは放送を聞くことができませんでした。,noisy,useful,correct,private,騒がしい,役に立つ,訂正する／正しい,個人的な,A,noisy,騒がしい,文脈から「noisy」が最も自然です。意味は「騒がしい」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"noisy = 騒がしい
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,adjective,vocabulary,noisy,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q10,SET01,10,短句填空,sentence_fill,,The city plans to (____) more trees along the main street next spring.,市は来年の春、メインストリート沿いにもっと多くの木を（　）予定です。,plant,mix,charge,tie,植える,混ぜる,料金を請求する,結ぶ,A,plant,植える,文脈から「plant」が最も自然です。意味は「植える」です。空所の前後の言葉を手がかりにすると選びやすくなります。,"plant = 植える
文脈：空所の前後から意味を判断する。",EIKEN_Pre2,verb,vocabulary,plant,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q11,SET01,11,对话完成,dialogue_completion,,"A: You look tired, Ben.
B: I stayed up late finishing my science project.
A: Is it due today?
B: (____)","次の会話を完成させなさい。
A： You look tired, Ben.
B： I stayed up late finishing my science project.
A： Is it due today?
B： （　）","Yes, I have to hand it in this morning.",It was sunny yesterday.,I like sandwiches.,"No, I never study science.",はい、今朝提出しなければなりません。,昨日は晴れていました。,私はサンドイッチが好きです。,いいえ、私は理科を勉強しません。,A,"Yes, I have to hand it in this morning.",はい、今朝提出しなければなりません。,"会話の流れに合う返事は「Yes, I have to hand it in this morning.」です。前の発言をよく読むと、自然につながる内容を選べます。","会話表現：相手の質問や依頼に合う自然な返事を選ぶ。
correct answer = Yes, I have to hand it in this morning.（はい、今朝提出しなければなりません。）",EIKEN_Pre2,school,conversation,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
SET01-Q12,SET01,12,对话完成,dialogue_completion,,"A: This jacket is nice, but it’s too small.
B: Would you like to try a larger size?
A: Yes, please.
B: (____)","次の会話を完成させなさい。
A： This jacket is nice, but it’s too small.
B： Would you like to try a larger size?
A： Yes, please.
B： （　）",The library is closed today.,You should ride the bus.,I finished reading it.,I’ll bring one from the back.,図書館は今日は閉まっています。,バスに乗るべきです。,それを読み終えました。,奥から一つ持ってきます。,D,I’ll bring one from the back.,奥から一つ持ってきます。,会話の流れに合う返事は「I’ll bring one from the back.」です。前の発言をよく読むと、自然につながる内容を選べます。,"会話表現：相手の質問や依頼に合う自然な返事を選ぶ。
correct answer = I’ll bring one from the back.（奥から一つ持ってきます。）",EIKEN_Pre2,shopping,conversation,,Original item modeled on uploaded EIKEN Grade Pre-2 format; not a copied past exam question.
