writing_prompt_id,set_id,writing_no,writing_type,prompt_ja,prompt_en,min_words,max_words,sample_answer,sample_answer_ja,explanation_ja,difficulty,source_style
G3SET01-W01,G3SET01,1,email,あなたは、外国人の友達(Alex)からEメールを受け取りました。Alexの質問に答える内容を、25語〜35語の英語で書きなさい。Alexからの質問: I’m planning to visit Japan next month. What is the best place to visit in your city? Why do you like it?,I’m planning to visit Japan next month. What is the best place to visit in your city? Why do you like it?,25,35,I think you should visit Ohori Park. It is very beautiful. I like it because I can enjoy walking there with my friends.,大濠公園を訪れるのがよいと思います。とても美しく、友達と散歩を楽しめるからです。,訪れるべき場所と、その理由を簡潔に答えています。,EIKEN_Grade3,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET01-W02,G3SET01,2,opinion,"あなたは、外国人の友達から以下のQUESTIONをされました。QUESTIONについて、あなたの考えとその理由を2つ英文で書きなさい。語数の目安は25語〜35語です。QUESTION: Which do you like better, eating at home or eating at a restaurant?","Which do you like better, eating at home or eating at a restaurant?",25,35,"I like eating at home better. First, I can relax and watch TV with my family. Second, my mother’s food is always very delicious.",私は家で食べる方が好きです。家族とリラックスしてテレビを見られ、母の料理がとてもおいしいからです。,立場を明確にし、理由を2つ挙げています。語数目安を満たしています。,EIKEN_Grade3,Original item modeled on EIKEN Grade 3 format; provided by user; not copied from past exam questions.
G3SET02-W01,G3SET02,1,email,あなたは、外国人の友達(James)から以下のEメールを受け取りました。Jamesの質問に答える返信メールを、15語〜25語の英語で書きなさい。Jamesからの質問: I heard you have a new pet. What animal is it? What is its name?,I heard you have a new pet. What animal is it? What is its name?,15,25,"It is a dog. Its name is Pochi. It is very cute, and I like it very much.",犬です。名前はポチです。とてもかわいくて、私はとても気に入っています。,動物の種類（dog）と名前（Pochi）の2点に明確に答えています。,EIKEN_Grade3,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET02-W02,G3SET02,2,opinion,"あなたは、外国人の友達から以下のQUESTIONをされました。あなたの考えとその理由を2つ英文で書きなさい。語数の目安は25語〜35語です。QUESTION: Which do you like better, swimming or skiing?","Which do you like better, swimming or skiing?",25,35,"I like swimming better than skiing. First, I like to exercise in the water. Second, I am good at swimming, so it is fun for me.",私はスキーより水泳のほうが好きです。第一に、水の中で運動するのが好きです。第二に、水泳が得意なので楽しいです。,どちらが好きか立場を明示し、理由を2つ（水中の運動が好き、得意だから楽しい）挙げています。,EIKEN_Grade3,Original item modeled on EIKEN Grade 3 format; not copied from past exam questions.
G3SET03-W01,G3SET03,1,email,あなたは、外国人の友達(Emma)から以下のEメールを受け取りました。Emmaの質問に答える返信メールを、15語〜25語の英語で書きなさい。Emmaからの質問: I want to try a Japanese food. What food do you recommend? Why do you like it?,I want to try a Japanese food. What food do you recommend? Why do you like it?,15,25,I recommend sushi. It is fresh and delicious. I like it because there are many kinds of fish.,寿司をおすすめします。新鮮でおいしいです。いろいろな魚があるので好きです。,おすすめの食べ物と、その理由を簡潔に答えています。,EIKEN_Grade3,Original item modeled on EIKEN Grade 3 format; uses uploaded vocabulary/phrase list as reference; not copied from past exam questions.
G3SET03-W02,G3SET03,2,opinion,"次の質問について、あなたの考えとその理由を25語〜35語の英語で書きなさい。質問: Which do you like better, reading books or watching movies?","Which do you like better, reading books or watching movies?",25,35,"I like reading books better. I can read them anywhere, and I can learn many new words. Also, books are fun and interesting.",私は本を読むほうが好きです。どこでも読めて、新しい単語をたくさん学べます。また、本は楽しくて面白いです。,どちらが好きかを明確にし、理由を2つ入れています。,EIKEN_Grade3,Original item modeled on EIKEN Grade 3 format; uses uploaded vocabulary/phrase list as reference; not copied from past exam questions.
G3SET04-W01,G3SET04,1,email,あなたは、外国人の友達(Alex)からEメールを受け取りました。Alexの質問に答える内容を、25語〜35語の英語で書きなさい。Alexからの質問: I want to start a new hobby. What hobby do you recommend? Why?,I want to start a new hobby. What hobby do you recommend? Why?,25,35,"I recommend playing tennis. It is fun, and you can play it with your friends. Also, it is good exercise, so you can become healthy.",テニスをすすめます。楽しく、友達と一緒にでき、運動にもなるので健康になれるからです。,おすすめの趣味を1つ示し、理由を2つ書いています。,EIKEN_Grade3,Original item modeled on EIKEN Grade 3 format; uses uploaded vocabulary/phrase list as reference; not copied from past exam questions.
G3SET04-W02,G3SET04,2,opinion,"あなたは、外国人の友達から以下のQUESTIONをされました。QUESTIONについて、あなたの考えとその理由を2つ英文で書きなさい。語数の目安は25語〜35語です。QUESTION: Which do you like better, studying alone or studying with friends?","Which do you like better, studying alone or studying with friends?",25,35,"I like studying with friends better. First, we can help each other. Second, studying becomes more fun, so I can keep trying for a long time.",友達と勉強する方が好きです。お互いに助け合え、勉強が楽しくなって長く続けられるからです。,自分の立場を明確にし、理由を2つ挙げています。,EIKEN_Grade3,Original item modeled on EIKEN Grade 3 format; uses uploaded vocabulary/phrase list as reference; not copied from past exam questions.
G3SET05-W01,G3SET05,1,email,"あなたは、外国人の友達(Alex)からEメールを受け取りました。Alexの質問に答える内容を、25語〜35語の英語で書きなさい。Alexからの質問: I want to start a new hobby. What hobby do you recommend, and why?","I want to start a new hobby. What hobby do you recommend, and why?",25,35,"I recommend taking a walk and taking pictures. It is easy to start, and you can enjoy nature. You can also show your photos to your family.",散歩をしながら写真を撮ることをすすめています。始めやすく、自然を楽しめ、家族に写真を見せることもできるからです。,おすすめの趣味を1つ示し、理由を2つ入れると3級のEメール型に合います。,standard,original_eiken3_set05_based_on_user_eiken3_phrase_list_0901_1300_no_pre2_no_past_questions
G3SET05-W02,G3SET05,2,opinion,"あなたは、外国人の友達から以下のQUESTIONをされました。QUESTIONについて、あなたの考えとその理由を2つ英文で書きなさい。語数の目安は25語〜35語です。QUESTION: Which do you like better, studying alone or studying with friends?","Which do you like better, studying alone or studying with friends?",25,35,"I like studying with friends better. First, we can help each other with difficult questions. Second, studying with friends is more fun than studying alone.",友達と勉強する方が好きです。難しい問題を助け合え、一人で勉強するより楽しいからです。,自分の好みを先に書き、First / Second で理由を2つ示しています。,standard,original_eiken3_set05_based_on_user_eiken3_phrase_list_0901_1300_no_pre2_no_past_questions
G3SET06-W01,G3SET06,1,email,"あなたは、外国人の友達(Emily)からEメールを受け取りました。Emilyの質問に答える内容を、25語〜35語の英語で書きなさい。Emilyからの質問: I want to visit a place in your town. Where should I go, and what can I do there?","I want to visit a place in your town. Where should I go, and what can I do there?",25,35,You should go to the riverside park. You can take a walk and see many flowers there. You can also take pictures with your friends.,川沿いの公園に行くことをすすめています。散歩をしたり花を見たり、友達と写真を撮ったりできるからです。,場所を1つ示し、そこでできることを2つ書くと、Eメール型として自然です。,standard,original_eiken3_set06_based_on_user_eiken3_phrase_list_0901_1300_no_pre2_no_past_questions
G3SET06-W02,G3SET06,2,opinion,QUESTIONについて、あなたの考えと理由を2つ、25語〜35語の英語で書きなさい。QUESTION: Do you like studying with friends?,Do you like studying with friends?,25,35,"Yes, I do. Studying with friends is fun, and we can help each other. Also, my friends sometimes teach me difficult words.",友達と勉強するのが好きだと答えています。楽しく、お互いに助け合え、難しい単語を教えてもらえるからです。,Yes/Noをはっきり書き、理由を2つ入れると3級の意見文としてまとまります。,standard,original_eiken3_set06_based_on_user_eiken3_phrase_list_0901_1300_no_pre2_no_past_questions
