word_id,word,meaning_ja,example_en,example_ja,pos
0001,make,（行為）を行う,My mother made dinner.,母は夕食を作った。,verb
0002,take,（乗り物）に乗る,I took a bus to school.,私はバスで学校へ行った。,verb
0003,see,見る,I saw a bird.,鳥を見た。,verb
0004,work,働く,My father works hard.,父は一生懸命働く。,verb
0005,look,見る,She looks happy.,彼女は幸せそうに見える。,verb
0006,call,呼ぶ,Call me Ken.,私をケンと呼んでください。,verb
0007,last,続く,The meeting lasted two hours.,会議は2時間続いた。,verb
0008,learn,学ぶ,I learn English every day.,毎日英語を学ぶ。,verb
0009,tell,伝える,Tell me the story.,その話を聞かせて。,verb
0010,need,必要とする,I need help.,助けが必要です。,verb
0011,enjoy,楽しむ,I enjoy music.,私は音楽を楽しむ。,verb
0012,grow,育つ,The tree is growing well.,木がよく育っている。,verb
0013,give,与える,Give me some advice.,助言をください。,verb
0014,finish,終える,I finished my homework.,宿題を終えた。,verb
0015,find,見つける,I found my key.,鍵を見つけた。,verb
0016,move,移動する,He moved to England.,彼はイギリスへ引っ越した。,verb
0017,send,送る,Send me an email.,メールを送ってください。,verb
0018,bring,持ってくる,Bring your lunch.,昼食を持ってきて。,verb
0019,try,試みる,I will try again.,もう一度やってみる。,verb
0020,decide,決める,I decided to go.,行くことに決めた。,verb
0021,hope,望む,I hope to see you.,会えることを願っています。,verb
0022,travel,旅行する,I want to travel abroad.,海外旅行したい。,verb
0023,invite,招待する,I invited him to the party.,彼をパーティーに招待した。,verb
0024,join,参加する,Join the team.,チームに参加しよう。,verb
0025,plant,植える,We planted trees.,木を植えた。,verb
0026,show,見せる,Show me your passport.,パスポートを見せてください。,verb
0027,become,になる,She became famous.,彼女は有名になった。,verb
0028,hold,開催する,The concert was held on Sunday.,コンサートは日曜日に開催された。,verb
0029,rain,雨が降る,It is raining.,雨が降っている。,verb
0030,win,勝つ,Our team won.,私たちのチームが勝った。,verb
0031,put,置く,Put it on the desk.,机の上に置いてください。,verb
