display_order,lesson_id,level,category,title,grammar_point,jp_explanation,jp_example,en_example,learning_goal,quiz_id,quiz_order,question_jp,choice_a,choice_b,choice_c,choice_d,answer_index,explanation_jp,difficulty
1,G-PREP2-001,eiken_pre2,完了形,過去完了,had + 過去分詞,過去のある時点よりも、さらに前に起きたことを表す。完了・経験・継続・大過去の意味で使われる。,母が帰宅したとき、私は宿題を終えていた。,I had finished my homework when Mother came home.,新しい過去と古い過去を区別して、古いほうを過去完了で表せる。,Q-PREP2-001-01,1,「母が帰宅したとき、私は宿題を終えていた。」に最も近い英文はどれですか。,I finished my homework when Mother comes home.,I had finished my homework when Mother came home.,I have finished my homework when Mother came home.,I was finishing my homework tomorrow.,1,母が帰宅したのは過去。その時点より前に宿題を終えていたので had finished を使う。,2
1,G-PREP2-001,eiken_pre2,完了形,過去完了,had + 過去分詞,過去のある時点よりも、さらに前に起きたことを表す。完了・経験・継続・大過去の意味で使われる。,母が帰宅したとき、私は宿題を終えていた。,I had finished my homework when Mother came home.,新しい過去と古い過去を区別して、古いほうを過去完了で表せる。,Q-PREP2-001-02,2,「彼女が北海道に引っ越すまで、雪を見たことがなかった。」に最も近い英文はどれですか。,She never sees snow until she moved to Hokkaido.,She had never seen snow until she moved to Hokkaido.,She has never saw snow until she moved to Hokkaido.,She was never see snow until she moved to Hokkaido.,1,北海道に引っ越した時点より前の経験なので had never seen を使う。,2
1,G-PREP2-001,eiken_pre2,完了形,過去完了,had + 過去分詞,過去のある時点よりも、さらに前に起きたことを表す。完了・経験・継続・大過去の意味で使われる。,母が帰宅したとき、私は宿題を終えていた。,I had finished my homework when Mother came home.,新しい過去と古い過去を区別して、古いほうを過去完了で表せる。,Q-PREP2-001-03,3,空所に入る最も適切なものはどれですか。He lost the watch which I _____ him.,give,gave,had given,have given,2,時計をあげたのは、なくした時より前なので had given が正しい。,2
1,G-PREP2-001,eiken_pre2,完了形,過去完了,had + 過去分詞,過去のある時点よりも、さらに前に起きたことを表す。完了・経験・継続・大過去の意味で使われる。,母が帰宅したとき、私は宿題を終えていた。,I had finished my homework when Mother came home.,新しい過去と古い過去を区別して、古いほうを過去完了で表せる。,Q-PREP2-001-04,4,「彼らは結婚したとき、すでに長い間お互いを知っていた。」に最も近い英文はどれですか。,They had known each other when they got married.,They have known each other when they got married.,They knew each other when they will get married.,They are knowing each other when they got married.,0,結婚した時点より前から知っていたので had known を使う。,2
1,G-PREP2-001,eiken_pre2,完了形,過去完了,had + 過去分詞,過去のある時点よりも、さらに前に起きたことを表す。完了・経験・継続・大過去の意味で使われる。,母が帰宅したとき、私は宿題を終えていた。,I had finished my homework when Mother came home.,新しい過去と古い過去を区別して、古いほうを過去完了で表せる。,Q-PREP2-001-05,5,空所に入る最も適切なものはどれですか。She sold the book that she _____ three months before.,buys,has bought,had bought,will buy,2,売った時より3か月前に買っていたので had bought が正しい。,2
2,G-PREP2-002,eiken_pre2,仮定法,仮定法過去完了,"If + 主語 + had + 過去分詞, 主語 + would/could/might have + 過去分詞",過去に実際には起こらなかったことを仮定し、『もし〜していたら、〜だったのに』という意味を表す。,もし早く起きていたら、バスに乗り遅れなかったのに。,"If I had got up early, I wouldn't have missed the bus.",過去の事実と反対の内容を仮定法過去完了で表せる。,Q-PREP2-002-01,1,「もし彼がもっと勉強していたら、試験に合格したかもしれない。」に最も近い英文はどれですか。,"If he studies harder, he passes the exam.","If he had studied harder, he might have passed the exam.","If he studied harder, he will pass the exam.","If he has studied harder, he can pass the exam.",1,"過去に実際は十分勉強しなかったという仮定なので If + had studied, might have passed を使う。",2
2,G-PREP2-002,eiken_pre2,仮定法,仮定法過去完了,"If + 主語 + had + 過去分詞, 主語 + would/could/might have + 過去分詞",過去に実際には起こらなかったことを仮定し、『もし〜していたら、〜だったのに』という意味を表す。,もし早く起きていたら、バスに乗り遅れなかったのに。,"If I had got up early, I wouldn't have missed the bus.",過去の事実と反対の内容を仮定法過去完了で表せる。,Q-PREP2-002-02,2,"空所に入る最も適切なものはどれですか。If I _____ the bus, I could have been on time.",catch,caught,had caught,have caught,2,過去の事実と反対の仮定なので if節は had + 過去分詞。,2
2,G-PREP2-002,eiken_pre2,仮定法,仮定法過去完了,"If + 主語 + had + 過去分詞, 主語 + would/could/might have + 過去分詞",過去に実際には起こらなかったことを仮定し、『もし〜していたら、〜だったのに』という意味を表す。,もし早く起きていたら、バスに乗り遅れなかったのに。,"If I had got up early, I wouldn't have missed the bus.",過去の事実と反対の内容を仮定法過去完了で表せる。,Q-PREP2-002-03,3,「もし早く寝ていたら、眠くなかっただろうに。」に最も近い英文はどれですか。,"If I went to bed early, I am not sleepy.","If I had gone to bed early, I wouldn't have been sleepy.","If I have gone to bed early, I won't be sleepy.","If I go to bed early, I wasn't sleepy.",1,過去に早く寝なかったことを仮定しているので had gone / wouldn't have been。,2
2,G-PREP2-002,eiken_pre2,仮定法,仮定法過去完了,"If + 主語 + had + 過去分詞, 主語 + would/could/might have + 過去分詞",過去に実際には起こらなかったことを仮定し、『もし〜していたら、〜だったのに』という意味を表す。,もし早く起きていたら、バスに乗り遅れなかったのに。,"If I had got up early, I wouldn't have missed the bus.",過去の事実と反対の内容を仮定法過去完了で表せる。,Q-PREP2-002-04,4,"空所に入る最も適切なものはどれですか。If he had studied harder, he _____ the exam.",passes,will pass,might have passed,has passed,2,仮定法過去完了では、主節に might/would/could have + 過去分詞を使う。,2
2,G-PREP2-002,eiken_pre2,仮定法,仮定法過去完了,"If + 主語 + had + 過去分詞, 主語 + would/could/might have + 過去分詞",過去に実際には起こらなかったことを仮定し、『もし〜していたら、〜だったのに』という意味を表す。,もし早く起きていたら、バスに乗り遅れなかったのに。,"If I had got up early, I wouldn't have missed the bus.",過去の事実と反対の内容を仮定法過去完了で表せる。,Q-PREP2-002-05,5,「もし傘を持っていたら、ぬれなかったのに。」に最も近い英文はどれですか。,"If I have an umbrella, I don't get wet.","If I had had an umbrella, I wouldn't have got wet.","If I had an umbrella, I won't get wet.","If I have had an umbrella, I didn't get wet.",1,過去に傘を持っていなかったという反実仮想なので If I had had ... を使う。,2
